event_name,event_date
ufc fight night: font vs. vera,2022-04-30
ufc fight night: gaethje vs. vick,2018-08-25
ufc fight night: gane vs. spivac,2023-09-02
ufc fight night: gane vs. tuivasa,2022-09-03
ufc fight night: gane vs. volkov,2021-06-26
ufc fight night: garcia vs. onama,2025-11-01
ufc fight night: gonzaga vs cro cop 2,2015-04-11
ufc fight night: grasso vs. araujo,2022-10-15
ufc fight night: grasso vs. shevchenko 2,2023-09-16
ufc fight night: gustafsson vs manuwa,2014-03-08
ufc fight night: gustafsson vs. smith,2019-06-01
ufc fight night: gustafsson vs. teixeira,2017-05-28
ufc fight night: hall vs. silva,2020-10-31
ufc fight night: hall vs. strickland,2021-07-31
ufc fight night: henderson vs dos anjos,2014-08-23
ufc fight night: henderson vs khabilov,2014-06-07
ufc fight night: henderson vs masvidal,2015-11-28
ufc fight night: henderson vs thatch,2015-02-14
ufc fight night: hendricks vs thompson,2016-02-06
ufc fight night: hermansson vs. cannonier,2019-09-28
ufc fight night: hermansson vs. pyfer,2024-02-10
ufc fight night: hermansson vs. strickland,2022-02-05
ufc fight night: hermansson vs. vettori,2020-12-05
ufc fight night: hernandez vs. pereira,2024-10-19
ufc fight night: hill vs. rountree jr.,2025-06-21
ufc fight night: holloway vs oliveira,2015-08-23
ufc fight night: holloway vs. allen,2023-04-15
ufc fight night: holloway vs. kattar,2021-01-16
ufc fight night: holloway vs. rodriguez,2021-11-13
ufc fight night: holloway vs. the korean zombie,2023-08-26
ufc fight night: holm vs. aldana,2020-10-03
ufc fight night: holm vs. bueno silva,2023-07-15
ufc fight night: holm vs. correia,2017-06-17
ufc fight night: holm vs. vieira,2022-05-21
ufc fight night: holohan vs smolka,2015-10-24
ufc fight night: hunt vs bigfoot,2013-12-06
ufc fight night: hunt vs mir,2016-03-19
ufc fight night: hunt vs nelson,2014-09-20
ufc fight night: hunt vs. oleinik,2018-09-15
ufc fight night: iaquinta vs. cowboy,2019-05-04
ufc fight night: imavov vs. borralho,2025-09-06
ufc fight night: jacare vs mousasi,2014-09-05
ufc fight night: jacare vs. brunson 2,2018-01-27
ufc fight night: jacare vs. hermansson,2019-04-27
ufc fight night: jedrzejczyk vs penne,2015-06-20
ufc fight night: joanna vs. waterson,2019-10-12
ufc fight night: jung vs. ige,2021-06-19
ufc fight night: kape vs. almabayev,2025-03-01
ufc fight night: kara-france vs. albazi,2023-06-03
ufc fight night: kattar vs. allen,2022-10-29
ufc fight night: kattar vs. chikadze,2022-01-15
ufc fight night: kattar vs. emmett,2022-06-18
ufc fight night: kattar vs. ige,2020-07-15
ufc fight night: kim vs hathaway,2014-03-01
ufc fight night: korean zombie vs. rodriguez,2018-11-10
ufc fight night: ladd vs. dumont,2021-10-16
ufc fight night: lauzon vs stephens,2009-02-07
ufc fight night: lawler vs. dos anjos,2017-12-16
ufc fight night: lee vs. iaquinta,2018-12-15
ufc fight night: lee vs. oliveira,2020-03-14
ufc fight night: lemos vs. andrade,2022-04-23
ufc fight night: lemos vs. jandiroba,2024-07-20
ufc fight night: lewis vs. abdurakhimov,2016-12-09
ufc fight night: lewis vs. browne,2017-02-19
ufc fight night: lewis vs. daukaus,2021-12-18
ufc fight night: lewis vs. dos santos,2019-03-09
ufc fight night: lewis vs. hunt,2017-06-10
ufc fight night: lewis vs. nascimento,2024-05-11
ufc fight night: lewis vs. oleinik,2020-08-08
ufc fight night: lewis vs. spivac,2023-02-04
ufc fight night: lewis vs. teixeira,2025-07-12
ufc fight night: lineker vs. dodson,2016-10-01
ufc fight night: lopes vs. silva,2025-09-13
ufc fight night: luque vs. dos anjos,2023-08-12
ufc fight night: luque vs. muhammad,2022-04-16
ufc fight night: macdonald vs saffiedine,2014-10-04
ufc fight night: macdonald vs thompson,2016-06-18
ufc fight night: machado garry vs. prates,2025-04-26
ufc fight night: machida vs dollaway,2014-12-20
ufc fight night: machida vs mousasi,2014-02-15
ufc fight night: machida vs munoz,2013-10-26
ufc fight night: machida vs romero,2015-06-27
ufc fight night: machida vs. anders,2018-02-03
ufc fight night: magny vs gastelum,2015-11-21
ufc fight night: magny vs. ponzinibbio,2018-11-17
ufc fight night: magny vs. prates,2024-11-09
ufc fight night: maia vs laflare,2015-03-21
ufc fight night: maia vs shields,2013-10-09
ufc fight night: maia vs. askren,2019-10-26
ufc fight night: maia vs. usman,2018-05-19
