event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2011-12-17,Alex White,CJay Hunter,Alex White,SUB,,,,1,tapology,Missouri Regional,,,,,,,,,,,,,,,,
2015-10-24,Saygid Izagakhmaev,Gasan Ibragimov,Saygid Izagakhmaev,SUB,1.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2006-04-01,Abel Trujillo,David Hillyer,Abel Trujillo,KO/TKO,,,,0,tapology,Illinois Regional,,,,,,,,,,,,,,,,
2016-05-07,Alex Gorgees,Jackson Amey,Alex Gorgees,KO/TKO,1.0,,,0,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
2012-01-07,Mike Rhodes,Josh Packham,Mike Rhodes,KO/TKO,1.0,,,0,sherdog,Madtown Throwdown,,,,,,,,,,,,,,,,
2015-10-24,Saygid Izagakhmaev,Magomed Umalatov,Magomed Umalatov,KO/TKO,2.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2016-08-27,Cam Rowston,Sone Laititi,Cam Rowston,KO/TKO,2.0,,,0,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
2008-12-06,Colton Smith,Cody Toy,Colton Smith,SUB,1.0,,,0,tapology,Operation Octagon,,,,,,,,,,,,,,,,
2009-11-07,Colton Smith,William Bookwalter,Colton Smith,SUB,1.0,,,1,tapology,Operation Octagon,,,,,,,,,,,,,,,,
2013-11-15,Curtis Blaydes,Anthony Harvey,Curtis Blaydes,U-DEC,,,,1,tapology,Illinois Regional,,,,,,,,,,,,,,,,
2018-05-13,Rizvan Kuniev,Grigoriy Ponomarev,Rizvan Kuniev,KO/TKO,2.0,,,1,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2012-05-25,Ryan Spann,Jared Perez,Ryan Spann,U-DEC,5.0,5.0,,0,sherdog,Garcia Promotions,,,,,,,,,,,,,,,,
2014-09-26,Petr Yan,Ivan Glebov,Petr Yan,KO/TKO,1.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2016-10-02,Roman Bogatov,Makkasharip Zaynukov,Roman Bogatov,U-DEC,2.0,2.0,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2015-05-09,Jack Della Maddalena,Dean Abramo,Jack Della Maddalena,U-DEC,3.0,3.0,,0,sherdog,Battle Collossal,,,,,,,,,,,,,,,,
2021-03-27,Wes Schultz,Zack Riley,Wes Schultz,SUB,3.0,,,0,sherdog,Caged Aggression,,,,,,,,,,,,,,,,
2012-08-17,Alex Nicholson,Mike McCusker,Mike McCusker,SUB,2.0,,,0,sherdog,Breakthrough MMA,,,,,,,,,,,,,,,,
2006-05-27,Akira Corassani,Henrik Olsen,Akira Corassani,U-DEC,,,,0,tapology,Denmark Regional,,,,,,,,,,,,,,,,
2015-11-14,Darrius Flowers,Spencer Klein,Darrius Flowers,U-DEC,,,,0,tapology,King Of The Cage,,,,,,,,,,,,,,,,
2019-08-24,Wes Schultz,Gabe Taylor,Gabe Taylor,SUB,2.0,,,0,sherdog,Caged Aggression,,,,,,,,,,,,,,,,
2010-02-06,Carl Deaton,Eli Finn,Carl Deaton,SUB,1.0,,,0,tapology,King Of The Cage,,,,,,,,,,,,,,,,
2007-02-17,Conor McGregor,Kieran Campbell,Conor McGregor,KO/TKO,,,,0,tapology,Ireland Regional,,,,,,,,,,,,,,,,
2017-11-16,Brady Hiestand,Taylor Rogers,Brady Hiestand,SUB,2.0,,,0,tapology,King Of The Cage,,,,,,,,,,,,,,,,
