event_date,fighter1,fighter2,event_name,bfo_url
2022-08-13,Youssef Zalal,Da'Mon Blackshear,UFC Fight Night: Vera vs. Cruz,https://www.bestfightodds.com/events/ufc-fight-night-vera-vs-cruz-2552
2022-08-20,Sean Woodson,Luis Saldana,UFC 278: Usman vs. Edwards,https://www.bestfightodds.com/events/ufc-278-usman-vs-edwards-2-2545
2022-11-12,Zhang Weili,Carla Esparza,UFC 281: Adesanya vs. Pereira,https://www.bestfightodds.com/events/ufc-281-2529
2022-11-12,Dustin Poirier,Michael Chandler,UFC 281: Adesanya vs. Pereira,https://www.bestfightodds.com/events/ufc-281-2529
2022-12-10,Jan Blachowicz,Magomed Ankalaev,UFC 282: Blachowicz vs. Ankalaev,https://www.bestfightodds.com/events/ufc-282-2621
2022-12-10,Ilia Topuria,Bryce Mitchell,UFC 282: Blachowicz vs. Ankalaev,https://www.bestfightodds.com/events/ufc-282-2621
2023-01-14,Mateusz Rebecki,Nick Fiore,UFC Fight Night: Strickland vs. Imavov,https://www.bestfightodds.com/events/ufc-fight-night-218-2666
2023-01-21,Brandon Moreno,Deiveson Figueiredo,UFC 283: Teixeira vs. Hill,https://www.bestfightodds.com/events/ufc-283-2635
2023-02-04,Dooho Choi,Kyle Nelson,UFC Fight Night: Lewis vs. Spivac,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-spivak-2747
2023-02-04,JeongYeong Lee, Yizha,UFC Fight Night: Lewis vs. Spivac,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-spivak-2747
2023-02-11,Jimmy Crute,Alonzo Menifield,UFC 284: Makhachev vs. Volkanovski,https://www.bestfightodds.com/events/ufc-284-2688
2023-02-11,Blake Bilder,Shane Young,UFC 284: Makhachev vs. Volkanovski,https://www.bestfightodds.com/events/ufc-284-2688
2023-02-11,Elves Brener,Zubaira Tukhugov,UFC 284: Makhachev vs. Volkanovski,https://www.bestfightodds.com/events/ufc-284-2688
2023-03-04,Ian Garry,Song Kenan,UFC 285: Jones vs. Gane,https://www.bestfightodds.com/events/ufc-285-2738
2023-03-11,Ariane Lipski,JJ Aldrich,UFC Fight Night: Yan vs. Dvalishvili,https://www.bestfightodds.com/events/ufc-fight-night-221-2719
2023-03-18,Jai Herbert,Ludovit Klein,UFC 286: Edwards vs. Usman 3,https://www.bestfightodds.com/events/ufc-286-2746
