event_date,fighter_a,fighter_b
2011-09-17,Matthew Riddle,Lance Benoist
2011-09-17,Ken Stone,Donny Walker
2011-09-17,Justin Edwards,Jorge Lopez
2011-09-17,Jonathan Brookins,Erik Koch
2011-09-17,Jake Shields,Jake Ellenberger
2011-09-17,Court McGee,Dongi Yang
2011-09-17,Cody McKenzie,Vagner Rocha
2011-09-17,Clay Harvison,Seth Baczynski
2011-09-17,Alan Belcher,Jason MacDonald
2011-09-17,Evan Dunham,Shamar Bailey
2011-09-24,Nate Diaz,Takanori Gomi
2011-09-24,Travis Browne,Rob Broughton
2011-09-24,Tony Ferguson,Aaron Riley
2011-09-24,Nick Ring,Tim Boetsch
2011-09-24,Matt Hughes,Josh Koscheck
2011-09-24,Takeya Mizugaki,Cole Escovedo
2011-09-24,Jon Jones,Rampage Jackson
2011-09-24,Ben Rothwell,Mark Hunt
2011-09-24,James Te Huna,Ricardo Romero
2011-09-24,Junior Assuncao,Eddie Yagin
2011-09-24,Jon Jones,Quinton Jackson
2011-10-01,Anthony Johnson,Charlie Brenneman
2011-10-01,Dominick Cruz,Demetrious Johnson
2011-10-01,Josh Neer,Keith Wisniewski
2011-10-01,Matt Wiman,Mac Danzig
2011-10-01,Michael Johnson,Paul Sass
2011-10-01,Mike Easton,Byron Bloodworth
2011-10-01,Pat Barry,Stefan Struve
2011-10-01,Shane Roller,TJ Grant
2011-10-01,Walel Watson,Joseph Sandoval
2011-10-01,Yves Edwards,Rafaello Oliveira
2011-10-08,Zhang Tiequan,Darren Elkins
2011-10-08,Tiequan Zhang,Darren Elkins
2011-10-08,Steve Cantwell,Mike Massenzio
2011-10-08,Leonard Garcia,Nam Phan
2011-10-08,Joey Beltran,Stipe Miocic
2011-10-08,Melvin Guillard,Joe Lauzon
2011-10-08,Jose Aldo,Kenny Florian
2011-10-08,Demian Maia,Jorge Santiago
2011-10-08,Chael Sonnen,Brian Stann
2011-10-08,Anthony Pettis,Jeremy Stephens
2011-10-08,Aaron Simpson,Eric Schafer
2011-10-08,Frankie Edgar,Gray Maynard
2011-10-29,Tyson Griffin,Bart Palaszewski
2011-10-29,Scott Jorgensen,Jeff Curran
2011-10-29,Ramsey Nijem,Danny Downes
2011-10-29,Mirko Filipovic,Roy Nelson
2011-10-29,Mirko Cro Cop,Roy Nelson
2011-10-29,Hatsu Hioki,George Roop
2011-10-29,Dustin Jacoby,Clifford Starks
2011-10-29,Chris Camozzi,Francis Carmont
2011-10-29,Cheick Kongo,Matt Mitrione
2011-10-29,Brandon Vera,Eliot Marshall
2011-10-29,BJ Penn,Nick Diaz
2011-10-29,Dennis Siver,Donald Cerrone
2011-11-05,Thiago Alves,Papy Abedi
2011-11-05,Terry Etim,Edward Faaloloto
2011-11-05,Rob Broughton,Philip De Fries
2011-11-05,Michihiro Omigawa,Jason Young
2011-11-05,John Maguire,Justin Edwards
2011-11-05,Cyrille Diabate,Anthony Perosh
2011-11-05,Chris Cope,Che Mills
2011-11-05,Chris Cariaso,Vaughan Lee
2011-11-05,Brad Pickett,Renan Barao
2011-11-05,Chris Leben,Mark Munoz
2011-11-12,Norifumi Yamamoto,Darren Uyenoyama
2011-11-12,Mike Pierce,Paul Bradley
2011-11-12,Mackens Semerzier,Robert Peralta
2011-11-12,Dustin Poirier,Pablo Garza
2011-11-12,DaMarques Johnson,Clay Harvison
2011-11-12,Clay Guida,Benson Henderson
2011-11-12,Cain Velasquez,Junior Dos Santos
2011-11-12,Alex Caceres,Cole Escovedo
2011-11-12,Aaron Rosa,Matt Lucas
2011-11-12,Cub Swanson,Ricardo Lamas
2011-11-19,Wanderlei Silva,Cung Le
2011-11-19,Urijah Faber,Brian Bowles
2011-11-19,Tom Lawlor,Chris Weidman
2011-11-19,Stephan Bonnar,Kyle Kingsbury
2011-11-19,Rick Story,Martin Kampmann
2011-11-19,Ryan Bader,Jason Brilz
2011-11-19,Michael McDonald,Alex Soto
2011-11-19,Mauricio Rua,Dan Henderson
2011-11-19,Matt Brown,Seth Baczynski
2011-11-19,Gleison Tibau,Rafael Dos Anjos
2011-11-19,Danny Castillo,Shamar Bailey
2011-11-19,Miguel Torres,Nick Pace
2011-12-03,Tony Ferguson,Yves Edwards
2011-12-03,TJ Dillashaw,John Dodson
2011-12-03,Steven Siler,Josh Clopton
2011-12-03,Roland Delorme,Josh Ferguson
2011-12-03,Michael Bisping,Jason Miller
2011-12-03,Louis Gaudinot,Johnny Bedford
2011-12-03,Dustin Pague,John Albert
2011-12-03,Diego Brandao,Dennis Bermudez
2011-12-03,Bryan Caraway,Dustin Neace
2011-12-03,Marcus Brimage,Stephen Bass
2011-12-10,Mark Bocek,Nik Lentz
2011-12-10,Walel Watson,Yves Jabouin
2011-12-10,Tito Ortiz,Rogerio Nogueira
2011-12-10,Rich Attonito,Jake Hecht
2011-12-10,Mitch Clarke,John Cholish
2011-12-10,Mark Hominick,Chan Sung Jung
2011-12-10,Krzysztof Soszynski,Igor Pokrajac
2011-12-10,John Makdessi,Dennis Hallman
2011-12-10,Jon Jones,Lyoto Machida
2011-12-10,Jared Hamman,Costas Philippou
2011-12-10,Jared Hamman,Constantinos Philippou
2011-12-10,Frank Mir,Minotauro Nogueira
