tour,player_id,player_name,needs_age,needs_hand,needs_height,affected_rows,latest_event_date,missing_fields
atp,K0A3,P. Kypson,True,True,True,6,2026-02-23,"age,hand,height_cm"
atp,L0CX,P. Llamas Ruiz,True,True,True,5,2025-08-24,"age,hand,height_cm"
atp,MO44,P. Martinez,True,True,True,44,2026-02-23,"age,hand,height_cm"
atp,Z09F,P. Zahraj,True,True,True,1,2025-07-14,"age,hand,height_cm"
atp,HB64,Q. Halys,True,True,True,50,2026-03-18,"age,hand,height_cm"
atp,BD06,R. Bautista Agut,True,True,True,44,2026-03-18,"age,hand,height_cm"
atp,BU70,R. Bertola,True,True,True,1,2025-10-20,"age,hand,height_cm"
atp,B0FV,R. Burruchaga,True,True,True,12,2026-02-23,"age,hand,height_cm"
atp,CF59,R. Carballes Baena,True,True,True,25,2026-02-16,"age,hand,height_cm"
atp,C0JP,R. Collignon,True,True,True,21,2026-03-18,"age,hand,height_cm"
atp,G628,R. Gasquet,True,True,True,7,2025-05-25,"age,hand,height_cm"
atp,H0BH,R. Hijikata,True,True,True,36,2026-03-04,"age,hand,height_cm"
atp,J0DZ,R. Jodar,True,True,True,9,2026-03-18,"age,hand,height_cm"
atp,SR:COMPETITOR:972327,R. Jodar,True,True,True,2,2026-01-18,"age,hand,height_cm"
atp,O522,R. Opelka,True,True,True,54,2026-03-18,"age,hand,height_cm"
atp,P0J1,R. Pacheco Mendez,True,True,True,4,2026-02-23,"age,hand,height_cm"
atp,SX50,R. Safiullin,True,True,True,23,2025-08-24,"age,hand,height_cm"
atp,S0UV,R. Sakamoto,True,True,True,6,2026-03-18,"age,hand,height_cm"
atp,B0BI,S. Baez,True,True,True,55,2026-03-18,"age,hand,height_cm"
atp,D0D4,S. Dostanic,True,True,True,3,2025-08-24,"age,hand,height_cm"
atp,K0AH,S. Korda,True,True,True,56,2026-03-18,"age,hand,height_cm"
atp,M0HU,S. Mochizuki,True,True,True,11,2026-02-16,"age,hand,height_cm"
atp,N897,S. Nagal,True,True,True,3,2025-02-10,"age,hand,height_cm"
atp,O513,S. Ofner,True,True,True,23,2025-10-13,"age,hand,height_cm"
atp,S0KT,S. Sakellaridis,True,True,True,1,2025-11-02,"age,hand,height_cm"
atp,SY67,S. Shimabukuro,True,True,True,7,2026-03-04,"age,hand,height_cm"
atp,TE51,S. Tsitsipas,True,True,True,48,2026-03-18,"age,hand,height_cm"
atp,W367,S. Wawrinka,True,True,True,24,2026-02-23,"age,hand,height_cm"
atp,A0GC,T. Atmane,True,True,True,31,2026-03-18,"age,hand,height_cm"
atp,BS86,T. Barrios Vera,True,True,True,12,2026-03-18,"age,hand,height_cm"
atp,B0T6,T. Boogaard,True,True,True,1,2026-02-09,"age,hand,height_cm"
atp,B0EJ,T. Boyer,True,True,True,13,2025-08-24,"age,hand,height_cm"
atp,DA81,T. Daniel,True,True,True,7,2025-09-17,"age,hand,height_cm"
atp,D0DW,T. Droguet,True,True,True,7,2026-02-02,"age,hand,height_cm"
atp,EA24,T. Etcheverry,True,True,True,66,2026-03-18,"age,hand,height_cm"
atp,FB98,T. Fritz,True,True,True,79,2026-03-18,"age,hand,height_cm"
atp,GJ37,T. Griekspoor,True,True,True,60,2026-02-23,"age,hand,height_cm"
atp,KD46,T. Kokkinakis,True,True,True,5,2026-01-12,"age,hand,height_cm"
atp,M0FH,T. Machac,True,True,True,50,2026-03-18,"age,hand,height_cm"
atp,MJ08,T. Monteiro,True,True,True,8,2026-02-16,"age,hand,height_cm"
atp,PL56,T. Paul,True,True,True,57,2026-03-18,"age,hand,height_cm"
atp,S0N0,T. Schoolkate,True,True,True,19,2026-03-04,"age,hand,height_cm"
atp,SX91,T. Seyboth Wild,True,True,True,15,2026-02-09,"age,hand,height_cm"
atp,S0GR,T. Skatov,True,True,True,1,2025-10-13,"age,hand,height_cm"
atp,S0VM,T. Svajda,True,True,True,2,2026-02-09,"age,hand,height_cm"
atp,T0A1,T. Tirante,True,True,True,15,2026-03-18,"age,hand,height_cm"
atp,BV16,U. Blanchet,True,True,True,10,2026-02-02,"age,hand,height_cm"
atp,HH26,U. Humbert,True,True,True,60,2026-03-18,"age,hand,height_cm"
atp,G0FW,V. Gaubas,True,True,True,8,2026-02-23,"age,hand,height_cm"
atp,KI82,V. Kopriva,True,True,True,30,2026-03-04,"age,hand,height_cm"
atp,PD07,V. Pospisil,True,True,True,1,2025-07-27,"age,hand,height_cm"
atp,R0EB,V. Royer,True,True,True,31,2026-03-18,"age,hand,height_cm"
atp,SS25,V. Sachko,True,True,True,6,2025-11-02,"age,hand,height_cm"
atp,VA25,V. Vacherot,True,True,True,27,2026-03-18,"age,hand,height_cm"
atp,R0IU,W. Rejchtman Vinciguerra,True,True,True,1,2025-07-14,"age,hand,height_cm"
atp,Y09V,Y. Bu,True,True,True,38,2026-01-18,"age,hand,height_cm"
atp,H997,Y. Hanfmann,True,True,True,31,2026-03-18,"age,hand,height_cm"
atp,N732,Y. Nishioka,True,True,True,22,2025-10-01,"age,hand,height_cm"
atp,WB08,Y. Watanuki,True,True,True,7,2025-09-24,"age,hand,height_cm"
atp,WB32,Y. Wu,True,True,True,18,2026-03-18,"age,hand,height_cm"
atp,Z0CQ,Y. Zhou,True,True,True,3,2025-10-01,"age,hand,height_cm"
atp,BU13,Z. Bergs,True,True,True,59,2026-03-18,"age,hand,height_cm"
atp,P09O,Z. Piros,True,True,True,1,2025-08-24,"age,hand,height_cm"
atp,S0K7,Z. Svajda,True,True,True,12,2026-03-18,"age,hand,height_cm"
atp,Z371,Z. Zhang,True,True,True,18,2026-03-18,"age,hand,height_cm"
wta,333126,Ada Kumru,True,True,True,4,2026-03-10,"age,hand,height_cm"
wta,333812,Adelina Lachinova,True,True,True,4,2026-03-03,"age,hand,height_cm"
wta,315232,Ajla Tomljanovic,True,True,True,49,2026-03-17,"age,hand,height_cm"
wta,322631,Alana Smith,True,True,True,8,2025-11-03,"age,hand,height_cm"
wta,316344,Aleksandra Krunic,True,True,True,6,2025-07-14,"age,hand,height_cm"
wta,334557,Alena Kovackova,True,True,True,1,2025-07-21,"age,hand,height_cm"
wta,327048,Alessandra Mazzola,True,True,True,1,2025-06-09,"age,hand,height_cm"
wta,332575,Alevtina Ibragimova,True,True,True,4,2026-02-24,"age,hand,height_cm"
wta,330332,Alexandra Eala,True,True,True,63,2026-03-17,"age,hand,height_cm"
wta,317790,Aliaksandra Sasnovich,True,True,True,34,2026-03-17,"age,hand,height_cm"
wta,322478,Alice Rame,True,True,True,13,2025-12-01,"age,hand,height_cm"
wta,321880,Alicia Herrero Linana,True,True,True,10,2025-12-01,"age,hand,height_cm"
wta,329198,Alina Charaeva,True,True,True,28,2026-03-10,"age,hand,height_cm"
wta,331330,Alina Korneeva,True,True,True,23,2026-02-16,"age,hand,height_cm"
wta,320735,Aliona Bolsova,True,True,True,22,2026-02-16,"age,hand,height_cm"
wta,329250,Aliona Falei,True,True,True,3,2025-10-27,"age,hand,height_cm"
wta,332718,Alisa Oktiabreva,True,True,True,4,2025-09-01,"age,hand,height_cm"
wta,312121,Alizé Cornet,True,True,True,4,2025-09-08,"age,hand,height_cm"
wta,326007,Alycia Parks,True,True,True,55,2026-03-17,"age,hand,height_cm"
wta,904523,Alyssa Ahn,True,True,True,1,2025-08-24,"age,hand,height_cm"
wta,326384,Amanda Anisimova,True,True,True,77,2026-03-17,"age,hand,height_cm"
wta,315148,Amandine Hesse,True,True,True,8,2025-09-29,"age,hand,height_cm"
wta,329331,Amandine Monnot,True,True,True,2,2025-12-01,"age,hand,height_cm"
wta,328131,Amarissa Toth,True,True,True,6,2026-02-24,"age,hand,height_cm"
