event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2023-11-10,wta,BJK Cup Playoffs,BJK Cup Playoffs 2023,RR,Nao Hibino,Yuliana Lizarazo,Nao Hibino,Yuliana Lizarazo,betexplorer_team_events,2023-11-10,Hibino N. vs Lizarazo Y.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-10,wta,BJK Cup Playoffs,BJK Cup Playoffs 2023,RR,Renata Jamrichova,Nadia Podoroska,Nadia Podoroska,Renata Jamrichova,betexplorer_team_events,2023-11-11,Jamrichova R. vs Podoroska N.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-23,atp,Davis Cup Finals QF: ITA vs NED,Davis Cup Finals QF: ITA vs NED 2023,RR,Botic Van De Zandschulp,Matteo Arnaldi,Botic Van De Zandschulp,Matteo Arnaldi,betexplorer_team_events,2023-11-23,Van De Zandschulp B. vs Arnaldi M.,dc-wg-2023,False,source_has_no_numeric_odds
2023-11-24,atp,Davis Cup Finals SF: FIN vs AUS,Davis Cup Finals SF: FIN vs AUS 2023,RR,Alexei Popyrin,Otto Virtanen,Alexei Popyrin,Otto Virtanen,betexplorer_team_events,2023-11-24,Popyrin A. vs Virtanen O.,dc-wg-2023,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,QF,Ajla Tomljanovic,Natalija Stevanovic,Ajla Tomljanovic,Natalija Stevanovic,betexplorer_team_events,2024-01-03,Tomljanovic A. vs Stevanovic N.,uc-wta-2024,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,SF,Angelique Kerber,Ajla Tomljanovic,Ajla Tomljanovic,Angelique Kerber,betexplorer_team_events,2024-01-06,Kerber A. vs Tomljanovic A.,uc-wta-2024,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,QF,Caroline Garcia,Malene Helgo,Caroline Garcia,Malene Helgo,betexplorer_team_events,2024-01-04,Garcia C. vs Helgo M.,uc-wta-2024,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,F,Iga Swiatek,Angelique Kerber,Angelique Kerber,Iga Swiatek,betexplorer_team_events,2024-01-07,Swiatek I. vs Kerber A.,uc-wta-2024,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,SF,Iga Swiatek,Caroline Garcia,Caroline Garcia,Iga Swiatek,betexplorer_team_events,2024-01-05,Swiatek I. vs Garcia C.,uc-wta-2024,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,QF,Iga Swiatek,Qinwen Zheng,Iga Swiatek,Qinwen Zheng,betexplorer_team_events,2024-01-02,Swiatek I. vs Zheng Q.,uc-wta-2024,False,source_has_no_numeric_odds
2024-01-01,wta,United Cup,United Cup 2024,QF,Maria Sakkari,Angelique Kerber,Angelique Kerber,Maria Sakkari,betexplorer_team_events,2024-01-05,Sakkari M. vs Kerber A.,uc-wta-2024,False,source_has_no_numeric_odds
2024-02-01,atp,Davis Cup QLS R1: UKR vs USA,Davis Cup QLS R1: UKR vs USA 2024,RR,Christopher Eubanks,Viacheslav Bielinskyi,Christopher Eubanks,Viacheslav Bielinskyi,betexplorer_team_events,2024-02-01,Eubanks C. vs Bielinskyi V.,dc-wg-2024,False,source_has_no_numeric_odds
